X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0751977476	0.494861945	2.0966317e-06		1454.31697	
0.015	0.0916095902	0.494861945	2.09664334e-06		1275.37212	
0.015	0.108021478	0.473570029	2.09664333e-06		1977.92992	
0.015	0.124433366	0.473570029	2.09664333e-06		1634.66574	
0.015	0.108021478	0.494861945	2.09664333e-06		1209.00478	
0.015	0.124433366	0.494861945	2.09664333e-06		1184.88774	
0.015	0.140175287	0.345818527	1.92546468e-06		2574.20283	
0.015	0.157750371	0.345818527	2.56502194e-06		2613.65323	
0.015	0.140175287	0.367110444	1.92546468e-06		2474.00715	
0.015	0.157750371	0.367110444	2.56502194e-06		2493.16655	
0.015	0.181161918	0.345818527	3.4166987e-06		2666.02034	
0.015	0.212346916	0.345818527	4.55116195e-06		2712.79987	
0.015	0.181161918	0.367110444	3.4166987e-06		2538.42164	
0.015	0.212346916	0.367110444	4.55116195e-06		2619.83171	
0.015	0.140175287	0.388402361	1.92546468e-06		2446.52345	
0.015	0.157750371	0.388402361	2.56502194e-06		2446.83187	
0.015	0.140175287	0.409694278	1.92546468e-06		2445.60282	
0.015	0.157750371	0.409694278	2.56502194e-06		2443.96012	
0.015	0.181161918	0.388402361	3.4166987e-06		2450.14359	
0.015	0.212346916	0.388402361	4.55116195e-06		2460.73713	
0.015	0.181161918	0.409694278	3.4166987e-06		2453.66259	
0.015	0.212346916	0.409694278	4.55116195e-06		2382.63176	
0.015	0.253886422	0.345818527	6.06230661e-06		2764.11503	
0.015	0.309209906	0.345818527	8.07300957e-06		2771.02253	
0.015	0.253886422	0.367110444	6.06230661e-06		2734.25814	
0.015	0.309209906	0.367110444	8.07300957e-06		2774.98447	
0.015	0.253886422	0.388402361	6.06230661e-06		2438.96898	
0.015	0.309209906	0.388402361	8.07300957e-06		1756.01654	
0.015	0.253886422	0.409694278	6.06230661e-06		1813.55356	
0.015	0.309209906	0.409694278	8.07300957e-06		1233.90513	
0.015	0.140175287	0.430986195	1.92546468e-06		2433.53756	
0.015	0.157750371	0.430986195	2.56502194e-06		2405.11759	
0.015	0.140175287	0.452278112	1.92546468e-06		2276.73025	
0.015	0.157750371	0.452278112	2.56502194e-06		1937.1243	
0.015	0.181161918	0.430986195	3.4166987e-06		2278.60052	
0.015	0.212346916	0.430986195	4.55116195e-06		1745.02933	
0.015	0.181161918	0.452278112	3.4166987e-06		1487.45748	
0.015	0.212346916	0.452278112	4.55116195e-06		1241.3894	
0.015	0.140175287	0.473570029	1.92546468e-06		1360.69478	
0.015	0.157750371	0.473570029	2.56502194e-06		1237.31622	
0.015	0.140175287	0.494861945	1.92546468e-06		1176.5025	
0.015	0.157750371	0.494861945	2.56502194e-06		1173.42299	
0.015	0.181161918	0.473570029	3.4166987e-06		1188.85445	
0.015	0.212346916	0.473570029	4.55116195e-06		1175.33119	
0.015	0.181161918	0.494861945	3.4166987e-06		1172.35425	
0.015	0.212346916	0.494861945	4.55116195e-06		1172.06869	
0.015	0.253886422	0.430986195	6.06230661e-06		1282.11035	
0.015	0.309209906	0.430986195	8.07300957e-06		1182.34904	
0.015	0.253886422	0.452278112	6.06230661e-06		1183.24835	
0.015	0.309209906	0.452278112	8.07300957e-06		1172.97947	
0.015	0.253886422	0.473570029	6.06230661e-06		1172.51315	
0.015	0.309209906	0.473570029	8.07300957e-06		1172.04325	
0.015	0.253886422	0.494861945	6.06230661e-06		1172.01051	
0.015	0.309209906	0.494861945	8.07300957e-06		1172.00099	
0.015	0.00837568839	0.516153862	2.14001353e-06		1325.82299	
0.015	0.0251247884	0.516153862	2.13943182e-06		1213.14746	
0.015	0.00837568839	0.537276946	2.10607528e-06		1172.02092	
0.015	0.0251247884	0.537276946	2.10550279e-06		1172.0099	
0.015	0.0418716123	0.516153862	2.13943197e-06		1189.34467	
0.015	0.0586184369	0.516153862	2.13943197e-06		1177.70955	
0.015	0.0418716123	0.537276946	2.10550295e-06		1172.00602	
0.015	0.0586184369	0.537276946	2.10550295e-06		1172.00267	
0.015	0.00837568839	0.561436535	2.75040126e-06		1172.00012	
0.015	0.0251247884	0.561436535	2.74965363e-06		1172.00012	
0.015	0.00837568839	0.592986402	3.59164322e-06		1172.00011	
0.015	0.0251247884	0.592986402	3.59066691e-06		1172.00011	
0.015	0.0418716123	0.561436535	2.74965383e-06		1172.00012	
0.015	0.0586184369	0.561436535	2.74965383e-06		1172.00012	
0.015	0.0418716123	0.592986402	3.59066717e-06		1172.00012	
0.015	0.0586184369	0.592986402	3.59066717e-06		1172.00012	
0.015	0.0751977476	0.516153862	2.0966317e-06		1173.89102	
0.015	0.0916095902	0.516153862	2.09664334e-06		1172.63025	
0.015	0.0751977476	0.537276946	2.06338144e-06		1172.00116	
0.015	0.0916095902	0.537276946	2.06339289e-06		1172.00054	
0.015	0.108021478	0.516153862	2.09664333e-06		1172.20942	
0.015	0.124433366	0.516153862	2.09664333e-06		1172.06985	
0.015	0.108021478	0.537276946	2.06339289e-06		1172.00029	
0.015	0.124433366	0.537276946	2.06339289e-06		1172.00019	
0.015	0.0751977476	0.561436535	2.6946458e-06		1172.00013	
0.015	0.0916095902	0.561436535	2.69466076e-06		1172.00013	
0.015	0.0751977476	0.592986402	3.51883431e-06		1172.00013	
0.015	0.0916095902	0.592986402	3.51885383e-06		1172.00013	
0.015	0.108021478	0.561436535	2.69466075e-06		1172.00013	
0.015	0.124433366	0.561436535	2.69466075e-06		1172.00013	
0.015	0.108021478	0.592986402	3.51885383e-06		1172.00013	
0.015	0.124433366	0.592986402	3.51885383e-06		1172.00013	
0.015	0.00837568839	0.63418616	4.69018877e-06		1172.0001	
0.015	0.0251247884	0.63418616	4.68891385e-06		1172.00011	
0.015	0.00837568839	0.687987339	6.12473718e-06		1172.00009	
0.015	0.0251247884	0.687987339	6.1230723e-06		1172.00009	
0.015	0.0418716123	0.63418616	4.68891419e-06		1172.00011	
0.015	0.0586184369	0.63418616	4.68891419e-06		1172.00012	
0.015	0.0418716123	0.687987339	6.12307275e-06		1172.0001	
0.015	0.0586184369	0.687987339	6.12307275e-06		1172.00011	
0.015	0.00837568839	0.758244231	7.99805878e-06		1172.00006	
