X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.068512733	0.0676238943	2.70972461e-07		1437.6527	
0.015	0.0806721961	0.0676238943	3.2703392e-07		1439.36855	
0.015	0.068512733	0.0717222549	2.70972461e-07		1437.79328	
0.015	0.0806721961	0.0717222549	3.2703392e-07		1439.38782	
0.015	0.068512733	0.0758206156	2.70972461e-07		1438.46064	
0.015	0.0806721961	0.0758206156	3.2703392e-07		1439.65375	
0.015	0.068512733	0.0799189763	2.70972461e-07		1439.05784	
0.015	0.0806721961	0.0799189763	3.2703392e-07		1440.28196	
0.015	0.068512733	0.0840173369	2.70972461e-07		1439.11661	
0.015	0.0806721961	0.0840173369	3.2703392e-07		1440.4521	
0.015	0.068512733	0.0881156976	2.70972461e-07		1439.07629	
0.015	0.0806721961	0.0881156976	3.2703392e-07		1440.4721	
0.015	0.068512733	0.0922140582	2.70972461e-07		1439.0535	
0.015	0.0806721961	0.0922140582	3.2703392e-07		1440.47438	
0.015	0.068512733	0.0963124189	2.70972461e-07		1438.69616	
0.015	0.0806721961	0.0963124189	3.2703392e-07		1440.45148	
0.015	0.068512733	0.10041078	2.70972461e-07		1438.26469	
0.015	0.0806721961	0.10041078	3.2703392e-07		1440.32242	
0.015	0.068512733	0.10450914	2.70972461e-07		1438.23997	
0.015	0.0806721961	0.10450914	3.2703392e-07		1440.30399	
0.015	0.068512733	0.108607501	2.70972461e-07		1438.29937	
0.015	0.0806721961	0.108607501	3.2703392e-07		1440.35035	
0.015	0.068512733	0.112705861	2.70972461e-07		1438.70056	
0.015	0.0806721961	0.112705861	3.2703392e-07		1440.42018	
0.015	0.068512733	0.116804222	2.70972461e-07		1439.82407	
0.015	0.0806721961	0.116804222	3.2703392e-07		1440.6184	
0.015	0.068512733	0.120902583	2.70972461e-07		1440.26336	
0.015	0.0806721961	0.120902583	3.2703392e-07		1440.84468	
0.015	0.068512733	0.125000943	2.70972461e-07		1440.36554	
0.015	0.0806721961	0.125000943	3.2703392e-07		1441.29465	
0.015	0.068512733	0.129099304	2.70972461e-07		1440.37916	
0.015	0.0806721961	0.129099304	3.2703392e-07		1441.7118	
0.015	0.0161343345	0.133442614	6.13505289e-09		1431.64314	
0.015	0.0160470988	0.137438669	1.05351748e-08		1435.2346	
0.015	0.0176015443	0.133197665	6.57598218e-08		1434.33405	
0.015	0.0202757771	0.133197665	6.57598218e-08		1434.22528	
0.015	0.0176015443	0.137296025	6.57598218e-08		1434.66769	
0.015	0.0202757771	0.137296025	6.57598218e-08		1434.13312	
0.015	0.015958547	0.141495005	1.49352967e-08		1436.74414	
0.015	0.0158695778	0.145570468	1.93354186e-08		1437.80663	
0.015	0.0176015443	0.141394386	6.57598218e-08		1434.52558	
0.015	0.0202757771	0.141394386	6.57598218e-08		1433.38395	
0.015	0.0176015443	0.145492747	6.57598218e-08		1434.01499	
0.015	0.0202757771	0.145492747	6.57598218e-08		1432.67059	
0.015	0.0157804232	0.149654421	2.37355405e-08		1438.56997	
0.015	0.0156911702	0.15374288	2.81356624e-08		1438.88665	
0.015	0.0176015443	0.149591107	6.57598218e-08		1433.56871	
0.015	0.0202757771	0.149591107	6.57598218e-08		1432.35578	
0.015	0.0176015443	0.153689468	6.57598218e-08		1433.45394	
0.015	0.0202757771	0.153689468	6.57598218e-08		1432.3263	
0.015	0.0156018587	0.157834017	3.25357843e-08		1438.60822	
0.015	0.0155125097	0.161926875	3.69359062e-08		1437.65543	
0.015	0.0176015443	0.157787829	6.57598218e-08		1433.44017	
0.015	0.0202757771	0.157787829	6.57598218e-08		1432.43371	
0.015	0.0176015443	0.161886189	6.57598218e-08		1433.32082	
0.015	0.0202757771	0.161886189	6.57598218e-08		1432.43528	
0.015	0.022834178	0.133197665	6.00631711e-08		1434.32324	
0.015	0.0255299258	0.133197665	7.25145904e-08		1433.85487	
0.015	0.022834178	0.137296025	6.00631711e-08		1433.73199	
0.015	0.0255299258	0.137296025	7.25145904e-08		1433.08509	
0.015	0.0287843877	0.133197665	8.7540913e-08		1432.84709	
0.015	0.0327132324	0.133197665	1.05680961e-07		1432.82937	
0.015	0.0287843877	0.137296025	8.7540913e-08		1432.10926	
0.015	0.0327132324	0.137296025	1.05680961e-07		1432.61219	
0.015	0.022834178	0.141394386	6.00631711e-08		1432.92251	
0.015	0.0255299258	0.141394386	7.25145904e-08		1432.25916	
0.015	0.022834178	0.145492747	6.00631711e-08		1432.10678	
0.015	0.0255299258	0.145492747	7.25145904e-08		1431.61855	
0.015	0.0287843877	0.141394386	8.7540913e-08		1431.7239	
0.015	0.0327132324	0.141394386	1.05680961e-07		1432.60871	
0.015	0.0287843877	0.145492747	8.7540913e-08		1431.5882	
0.015	0.0327132324	0.145492747	1.05680961e-07		1432.59763	
0.015	0.0374562043	0.133197665	1.27579952e-07		1434.2	
0.015	0.0431820051	0.133197665	1.54016806e-07		1435.85094	
0.015	0.0374562043	0.137296025	1.27579952e-07		1434.54363	
0.015	0.0431820051	0.137296025	1.54016806e-07		1436.31131	
0.015	0.0500942945	0.133197665	1.85931852e-07		1436.81533	
