X [m]	Y [m]	Z [m]	Volume [m^3]	Surface [m^2]	Pressure [Pa]	
0.015	0.0376772307	0.0847078801	1.18008693e-07		1725.95486	
0.015	0.0411645812	0.0845605162	1.89129905e-07		1723.93651	
0.015	0.0456783785	0.077207575	2.09146333e-07		1724.67003	
0.015	0.0509469212	0.077207575	2.55725078e-07		1724.48626	
0.015	0.0456783785	0.0845605162	2.09146333e-07		1723.98216	
0.015	0.0509469212	0.0845605162	2.55725078e-07		1723.16454	
0.015	0.0573887318	0.0625016927	3.12669976e-07		1727.32588	
0.015	0.0652650058	0.0625016927	3.82295374e-07		1724.79475	
0.015	0.0573887318	0.0698546339	3.12669976e-07		1725.4256	
0.015	0.0652650058	0.0698546339	3.82295374e-07		1723.80243	
0.015	0.0748951696	0.0625016927	4.67424967e-07		1721.68678	
0.015	0.0866697799	0.0625016927	5.71511231e-07		1718.62251	
0.015	0.0748951696	0.0698546339	4.67424967e-07		1720.95221	
0.015	0.0866697799	0.0698546339	5.71511231e-07		1718.05151	
0.015	0.0573887318	0.077207575	3.12669976e-07		1725.02719	
0.015	0.0652650058	0.077207575	3.82295374e-07		1723.3139	
0.015	0.0573887318	0.0845605162	3.12669976e-07		1723.75653	
0.015	0.0652650058	0.0845605162	3.82295374e-07		1722.82619	
0.015	0.0748951696	0.077207575	4.67424967e-07		1720.6783	
0.015	0.0866697799	0.077207575	5.71511231e-07		1718.12938	
0.015	0.0748951696	0.0845605162	4.67424967e-07		1721.70498	
0.015	0.0866697799	0.0845605162	5.71511231e-07		1719.6326	
0.015	0.037356831	0.0920322515	1.46389531e-07		1727.1721	
0.015	0.0411645812	0.0919134574	1.89129905e-07		1724.8187	
0.015	0.0370360254	0.0993659018	1.7477037e-07		1726.91804	
0.015	0.0411645812	0.0992663986	1.89129905e-07		1724.69769	
0.015	0.0456783785	0.0919134574	2.09146333e-07		1723.51394	
0.015	0.0509469212	0.0919134574	2.55725078e-07		1722.5954	
0.015	0.0456783785	0.0992663986	2.09146333e-07		1722.97972	
0.015	0.0509469212	0.0992663986	2.55725078e-07		1722.61222	
0.015	0.0368776424	0.10661935	1.89129401e-07		1726.87089	
0.015	0.0411645812	0.10661934	1.89129905e-07		1722.57636	
0.015	0.0368776367	0.113972281	1.89129905e-07		1720.56036	
0.015	0.0411645812	0.113972281	1.89129905e-07		1720.8208	
0.015	0.0456783785	0.10661934	2.09146333e-07		1722.54491	
0.015	0.0509469212	0.10661934	2.55725078e-07		1722.89558	
0.015	0.0456783785	0.113972281	2.09146333e-07		1722.5531	
0.015	0.0509469212	0.113972281	2.55725078e-07		1722.71945	
0.015	0.0573887318	0.0919134574	3.12669976e-07		1722.80311	
0.015	0.0652650058	0.0919134574	3.82295374e-07		1722.22365	
0.015	0.0573887318	0.0992663986	3.12669976e-07		1721.78051	
0.015	0.0652650058	0.0992663986	3.82295374e-07		1721.47956	
0.015	0.0748951696	0.0919134574	4.67424967e-07		1721.65809	
0.015	0.0866697799	0.0919134574	5.71511231e-07		1719.95707	
0.015	0.0748951696	0.0992663986	4.67424967e-07		1720.90362	
0.015	0.0866697799	0.0992663986	5.71511231e-07		1719.82491	
0.015	0.0573887318	0.10661934	3.12669976e-07		1720.90348	
0.015	0.0652650058	0.10661934	3.82295374e-07		1719.90915	
0.015	0.0573887318	0.113972281	3.12669976e-07		1719.9153	
0.015	0.0652650058	0.113972281	3.82295374e-07		1717.12407	
0.015	0.0748951696	0.10661934	4.67424967e-07		1719.3413	
0.015	0.0866697799	0.10661934	5.71511231e-07		1718.87488	
0.015	0.0748951696	0.113972281	4.67424967e-07		1715.89603	
0.015	0.0866697799	0.113972281	5.71511231e-07		1716.9455	
0.015	0.101066362	0.00367731713	6.9893634e-07		1736.59179	
0.015	0.118668778	0.00367731713	8.54575592e-07		1735.56626	
0.015	0.101066362	0.0110311046	6.98775404e-07		1731.68913	
0.015	0.118668778	0.0110311046	8.54378818e-07		1732.23548	
0.015	0.140187684	0.00367731713	1.04458867e-06		1724.14459	
0.015	0.140187684	0.0110311046	1.04434814e-06		1720.81908	
0.015	0.101066362	0.0183840456	6.98775441e-07		1729.40431	
0.015	0.118668778	0.0183840456	8.54378864e-07		1728.62744	
0.015	0.101066362	0.0257369868	6.98775441e-07		1727.50594	
0.015	0.118668778	0.0257369868	8.54378864e-07		1726.56503	
0.015	0.140187684	0.0183840456	1.0443482e-06		1716.77445	
0.015	0.140187684	0.0257369868	1.0443482e-06		1710.01771	
